productID,productName,productDescription,productType,price
51,Hardys Pinot Grigio,"Fresh and fruity, with delicate pear and citrus flavours.",wine,9.69
52,Wolf Blass Sparkling Brut,A delicately flavoured Pinot Noir Chardonnay Sparkling sourced from premium Australian vineyards. A delicious lemon curd and brioche nose along with a seductive hint of honeysuckle.,champagne,10
53,Teresa Rizzi Prosecco DOC,"Lighter in texture, softer on the palate with larger bubbles, and usually lower in alcohol than MCC.",champagne,3.89
54,Teresa Rizzi Sparkling Rosé,A sparkling wine from Prosecco Veneto with a blend based on glera grapes and presents an alcohol content of 11.5%.,champagne,4.45
55,Denbies Whitedowns Brut,"The Denbies Vineyard Select range of wines are limited in release, produced only in the best of seasons using the finest of grapes.",champagne,19
56,Pepsi Max Cherry,"Pepsi Max Cherry is the genius combination of full-on cherry cola taste, but with none of the sugar.",fizzy,1.8
57,Pepsi Max,"Maximum Taste, No sugar - The long lasting hit of caramel and vanilla and the intense taste of a regular Pepsi all with no sugar.",fizzy,1.8
58,Diet Pepsi,"With its light, crisp taste, Diet Pepsi gives you all the refreshment you need - with zero sugar and zero calories",fizzy,1.8
59,R White's Lemonade,"Made with real lemon juice, clear and refreshing.",fizzy,1.8
60,Pepsi,"The darkest cola of the Pepsi collection, you can taste the caramel, sweet citrus and spiced flavours",fizzy,1.9
61,Dalston's Fizzy Rhubarb,Made with real British rhubarb,fizzy,0.95
62,Gunna Muscovite Lemonade & Mint,Sparkling Reduced Sugar Lemon and Mint Flavour Drink with Sugar and Sweetener.,fizzy,0.95
63,Monster Ultra,"Carbonated Energy Drink with Taurine, Caffeine, L-Carnitine and B Vitamins with Sweeteners",fizzy,1.15
64,R White's Raspberry Lemonade,Carbonated Lemon and Raspberry Soft Drink with Sugar and Sweeteners.,fizzy,0.95
65,Old Jamaica Ginger Beer,Carbonated Ginger Beer Flavour Soft Drink with Sugar and Sweetener.,fizzy,1.15
66,Old Jamaica Diet Ginger Beer,Carbonated Low Calorie Ginger Beer Flavour Soft Drink with Sweetener.,fizzy,1.15
67,Sanpellegrino Limonata,"Sparkling lemon beverage made with lemon juice from concentrate, water, sugar, carbon dioxide, natural flavors and l-ascorbic acid.",fizzy,1.15
68,Sanpellegrino Rossa,"Sparkling Lemon Beverage with 16% Lemon Juice, with Sugar and Sweetener.",fizzy,1.15
69,Monster Mango Loco,"Carbonated Fruit Energy Drink with Taurine, Caffeine, L-Carnitine, Inositol and B Vitamins with Sugars and Sweetener",fizzy,1.25
70,Monster Energy,"Carbonated Energy Drink with Taurine, L-Carnitine, Caffeine, Ginseng and B Vitamins with Sugars and Sweetener.",fizzy,1.25
71,Innocent Super Smootie Energise,"This innocent super smoothie is a blend of crushed fruit, vegetables, pure juices, seeds, botanicals and added vitamins.",juice,1.49
72,Strathmore Still Spring Water,"Pure, clear, still Scottish spring water.",juice,1.59
73,Orange Juice,Pasteurised smooth orange juice.,juice,1.89
74,Apple Juice,Pasteurised apple juice.,juice,1.89
75,Cranberry Juice,Pasteurised cranberry juice.,juice,1.89
76,Remedy Kombucha Cherry Plum,Red cherries + Kakadu plum. A taste bud tango.,juice,1.79
77,J2O Orange & Passion Fruit,Orange and Passion Fruit Soft Drink with Sugar and Sweetener.,juice,1.89
78,J2O Apple & Raspberry,Apple and Raspberry Soft Drink with Sugar and Sweetener.,juice,1.89
79,J2O Apple & Mango,Apple and Mango Soft Drink with Sugar and Sweetener,juice,1.89
80,Lime Cordial,Concentrated Lime Juice Cordial,juice,0.4
81,Blackcurrant Cordial,Concentrated Blackcurrant Juice Cordial,juice,0.4
82,Orange Cordial,Concentrated Orange Juice Cordial,juice,0.4
83,Britvic Tonic Water,"Britvic Tonic Water is the delightful, bubbly soda water that tastes fantastic and imparts a unique and refreshing sensation.",mixer,0.95
84,Fentimans Tonic Water,"Fentimans Tonic Water is the delightful, bubbly soda water that tastes fantastic and imparts a unique and refreshing sensation.",mixer,1.15
85,Fentimans Orange Tonic Water,Made with beautifully sweet Valencian oranges and infused with Lemongrass.,mixer,1.15
86,Britvic Ginger Ale,Lightly sparkling with warming ginger root flavour,mixer,0.95
87,Britvic Bitter Lemon,"A zesty and revitalising taste and aroma, Low calorie",mixer,0.95
88,Britvic Pineapple Juice,"Light and fresh, this marbled juice is tasty and tropical",mixer,0.95
89,Britvic Tomato Juice,Ruby red with a hint of lemon juice and spicy Worcestershire sauce flavour,mixer,0.95
90,Lighlty Salted Kettle Chips,"Hand Cooked Potato Chips, Lightly Salted.",crisps,0.85
91,Sea Salt & Vinegar Kettle Chips,"Hand Cooked Potato Chips with Sea Salt and ""Aceto Balsamico di Modena IGP"".",crisps,0.85
92,Mature Cheddar & Red Onion Kettle Chips,Hand Cooked Potato Chips with Mature Cheddar Cheese and Red Onion Seasoning.,crisps,0.85
93,Sweet Chilli & Sour Cream Kettle Chips,Hand Cooked Potato Chips with Sweet Chilli and Sour Cream Seasoning.,crisps,0.85
94,KP Original Salted Peanuts,Roasted Salted Peanuts,nuts,0.7
95,KP Dry Roasted Peanuts,Dry Roasted Peanuts,nuts,0.7
96,KP Salted Cashews,Roasted Salted Cashew Nuts,nuts,0.7
97,KP Spicy Chilli Peanuts,Spicy Chilli Flavour Peanuts,nuts,0.7
98,Viennese Finger,Two biscuits sandwiched with buttercream and jam.,biscuits,0.4
99,Stem Ginger Biscuits," Tasty, wholesome and bursting with natural flavour.",biscuits,0.65
100,Salted Caramel Brownie Bar,"ruit & Peanut Bar with Cacao, Sea Salt, Natural Flavouring & Sweetener",biscuits,1.3
101,Twix,Milk Chocolate (35%) covered caramel (32%) and biscuit (26%),biscuits,0.75
102,Gingerbread Muffin,"Generously spiced, perfectly moist and lightly sweet. ",cake,1.5
103,Mince Tart,Filled with a spicy yet sweet vegetarian-style homemade mincemeat.,cake,1.5
104,Jaffa Cakes,20 Light Sponge Cakes with Dark Crackly Chocolate and a Smashing Orangey Centre,cake,1
105,Mr Kipling Angel Slices,Delectable layers of pink and yellow sponge with a heavenly vanilla filling topped with fondant icing.,cake,1
106,WKD Blue,"Sparkling flavoured vodka pre-mix drink, made by blending mixed fruit flavours with triple distilled vodka.",cider,2.75
107,Smirnoff Ice,"A malt beverage with a light, fruity flavor that's on the sweet side.",cider,2.59
